C,SF,S,QP,W,SP,F,WB,T,CT,SPB,FT,FL,FD,ST,A,CS
1076.77,286.23,1090.8,0.0,272.6,46.2,32.3031,0.2,23,1,1,6,12.7,0.2,1,28,168.1
960.0,240.0,771.9,0.0,234.0,45.0,58.5,0.2,23,1,1,1,13.0,0.2,1,90,167.9
960.0,240.0,787.1,0.0,234.0,45.0,19.5,0.2,23,1,1,1,13.0,0.2,1,90,167.8
960.0,240.0,779.2,0.0,234.0,45.0,39.0,0.2,23,1,1,1,13.0,0.2,1,90,167.7
960.0,240.0,773.8,0.0,234.0,45.0,58.5,0.2,23,1,1,1,13.0,0.2,1,56,167.6
998.8,176.25,1010.1,0.0,141.0,75.2,0.0,0.12,23,1,1,0,0.0,0.0,1,28,167.6
1116.7,390.85,625.35,0.0,212.17,23.45,44.668,0.14,23,1,1,6,13.0,0.2,1,28,167.5
922.0,230.0,1152.0,0.0,184.0,11.52,9.22,0.16,23,1,1,4,12.0,0.018,1,28,167.5
853.0,170.6,1023.6,255.9,196.19,29.86,51.18,0.19,23,1,1,6,12.0,0.2,1,14,167.4
853.0,170.6,1023.6,255.9,196.19,29.86,8.53,0.19,23,1,1,6,16.0,0.2,1,28,167.4
788.0,197.0,866.8,315.0,173.0,14.77,15.76,0.18,23,1,1,6,6.0,0.16,1,28,167.3
960.0,240.0,706.2,0.0,234.0,57.0,156.0,0.2,23,1,1,1,13.0,0.2,1,56,166.7
800.0,100.0,980.0,200.0,200.0,9.6,0.0,0.22,20,1,1,0,0.0,0.0,1,90,166.4
853.0,170.6,1023.6,255.9,196.19,29.86,8.53,0.19,23,1,1,6,12.0,0.2,1,28,166.3
960.0,240.0,780.5,0.0,234.0,45.0,39.0,0.2,23,1,1,1,13.0,0.2,1,56,166.2
729.0,124.0,833.0,397.0,170.0,30.0,156.0,0.2,23,1,1,1,13.0,0.2,1,28,166.1
960.0,240.0,788.9,0.0,234.0,45.0,4.8,0.2,23,1,1,5,13.0,0.018,1,28,165.8
788.0,197.0,866.8,315.0,173.0,14.77,15.76,0.18,23,1,1,6,13.0,0.16,1,14,165.6
828.0,207.0,911.0,248.0,186.4,21.0,16.56,0.18,23,1,1,4,10.0,0.44,1,28,165.6
1076.77,286.23,1090.8,0.0,272.6,46.2,0.0,0.2,23,1,1,0,0.0,0.0,1,28,165.6
960.0,240.0,720.7,0.0,234.0,57.0,117.0,0.2,23,1,1,1,13.0,0.2,1,56,165.5
960.0,240.0,786.4,0.0,234.0,45.0,19.5,0.2,23,1,1,1,13.0,0.2,1,90,165.1
