C,SF,S,QP,W,SP,F,WB,FT,FL,FD,A,CS
960,240,787.1,0,234,45,19.5,0.2,1,13,0.2,180,169.8
960,240,780.5,0,234,45,39,0.2,1,13,0.2,90,169.4
960,240,764.7,0,234,45,78,0.2,1,13,0.2,90,169.1
960,240,779.2,0,234,45,39,0.2,1,13,0.2,180,169.1
950,234,1030,95,215,12.7,234,0.18,1,13,0.2,28,168.6
960,240,771.9,0,234,45,58.5,0.2,1,13,0.2,90,167.9
960,240,786.4,0,234,45,19.5,0.2,1,13,0.2,180,167.9
960,240,787.1,0,234,45,19.5,0.2,1,13,0.2,90,167.8
960,240,779.2,0,234,45,39,0.2,1,13,0.2,90,167.7
960,240,773.8,0,234,45,58.5,0.2,1,13,0.2,56,167.6
960,240,706.2,0,234,57,156,0.2,1,13,0.2,56,166.7
784,261,1045,0,171,20.9,234,0.16,1,13,0.2,90,166.51
960,240,780.5,0,234,45,39,0.2,1,13,0.2,56,166.2
729,124,833,397,170,30,156,0.2,1,13,0.2,28,166.1
808,202,1091,0,202,24,234,0.2,1,13,0.2,28,165.7
890,222,799,0,222,29.6,119,0.2,1,13,0.25,28,165.6
960,240,720.7,0,234,57,117,0.2,1,13,0.2,56,165.5
960,240,786.4,0,234,45,19.5,0.2,1,13,0.2,90,165.1
741,185,815,259,185,9,156,0.2,1,13,0.2,90,165
960,240,764.7,0,234,45,78,0.2,1,13,0.2,56,164.9
960,240,771.9,0,234,45,58.5,0.2,1,13,0.2,56,164.7
960,240,779.2,0,234,45,39,0.2,1,13,0.2,56,163.3
960,240,787.1,0,234,45,19.5,0.2,1,13,0.2,56,163.1
960,240,740.7,0,234,45,156,0.2,1,13,0.2,28,162.8
701.5,210.5,820.8,259.6,164.2,17.5,156,0.18,1,13,0.2,28,161.9
900,220,1005,0,163,40,156,0.15,1,13,0.2,56,161.6
792,264,1056,0,173,21.1,156,0.16,1,13,0.2,90,161.47
960,240,786.4,0,234,45,19.5,0.2,1,13,0.2,56,160.9
960,240,754,0,234,45,117,0.2,1,13,0.2,28,160.6
960,240,706.2,0,234,57,156,0.2,1,13,0.2,28,160.1
784,261,1045,0,171,20.9,234,0.16,1,13,0.2,28,158.32
